authors,title,link,written,premiered,printed,source,id
"Петров, Евгений Петрович",Остров мира,https://dracor.org/rus/petrov-ostrov-mira,1940,1947,1947,Библиотека Максима Мошкова (lib.ru),rus000169
"Писарев, Александр Иванович",Лукавин,https://dracor.org/rus/pisarev-lukavin,,1823,1823,Библиотека Максима Мошкова (lib.ru),rus000133
"Писарев, Александр Иванович",Наследница,https://dracor.org/rus/pisarev-naslednica,1824,1824,1824,Библиотека Максима Мошкова (lib.ru),rus000149
"Писарев, Александр Иванович",Поездка в Кронштадт,https://dracor.org/rus/pisarev-poezdka-v-kronshtadt,1823,1823,1824,Библиотека Максима Мошкова (lib.ru),rus000150
"Писемский, Алексей Феофилактович",Горькая судьбина,https://dracor.org/rus/pisemskij-gorkaja-sudbina,,1863,1859,Библиотека Максима Мошкова (lib.ru),rus000089
"Плавильщиков, Пётр Алексеевич","Ермак, покоритель Сибири",https://dracor.org/rus/plavilshchikov-ermak-pokoritel-sibiri,1803,1803,1806,Библиотека Максима Мошкова (lib.ru),rus000117
"Плавильщиков, Пётр Алексеевич",Сговор Кутейкина,https://dracor.org/rus/plavilshchikov-sgovor-kutejkina,,1789,1799,Wikisource,rus000026
"Прутков, Козьма",Блонды,https://dracor.org/rus/prutkov-blondy,1853,,1854,Wikisource,rus000025
"Прутков, Козьма","Черепослов, сиречь Френолог",https://dracor.org/rus/prutkov-chereposlov-sirech-frenolog,1856,,1860,Wikisource,rus000024
"Прутков, Козьма",Фантазия,https://dracor.org/rus/prutkov-fantaziya,1850,1851,,Wikisource,rus000094
"Прутков, Козьма","Опрометчивый Турка, или: Приятно ли быть внуком?",https://dracor.org/rus/prutkov-oprometchivyj-turka,,,1863,Библиотека Максима Мошкова (lib.ru),rus000098
"Прутков, Козьма",Спор древних греческих философов об изящном,https://dracor.org/rus/prutkov-spor-drevnih-grecheskih-filosofov,,,1854,Wikisource,rus000023
"Прутков, Козьма",Сродство мировых сил,https://dracor.org/rus/prutkov-srodstvo-mirovyh-sil,,,1884,Библиотека Максима Мошкова (lib.ru),rus000099
"Пушкин, Александр Сергеевич",Борис Годунов,https://dracor.org/rus/pushkin-boris-godunov,1825,1866,1831,Wikisource,rus000042
"Пушкин, Александр Сергеевич",Каменный гость,https://dracor.org/rus/pushkin-kamenniy-gost,1830,1872,1839,Интернет-библиотека Алексея Комарова,rus000021
"Пушкин, Александр Сергеевич",Моцарт и Сальери,https://dracor.org/rus/pushkin-mocart-i-saleri,1830,1832,1831,Wikisource,rus000020
"Пушкин, Александр Сергеевич",Пир во время чумы,https://dracor.org/rus/pushkin-pir-vo-vremja-chumy,1830,,1832,Интернет-библиотека Алексея Комарова,rus000019
"Пушкин, Александр Сергеевич",Русалка,https://dracor.org/rus/pushkin-rusalka,1832,,1837,Интернет-библиотека Алексея Комарова,rus000018
"Пушкин, Александр Сергеевич",Скупой рыцарь,https://dracor.org/rus/pushkin-skupoj-rytsar,1830,,1836,Интернет-библиотека Алексея Комарова,rus000017
"Пушкин, Александр Сергеевич",Сцены из рыцарских времен,https://dracor.org/rus/pushkin-stseny-iz-rytsarskih-vremen,1835,,1837,Интернет-библиотека Алексея Комарова,rus000016
"Ростопчина, Евдокия Петровна",Нелюдимка,https://dracor.org/rus/rostopchina-neludimka,1849,,1850,Библиотека Максима Мошкова (lib.ru),rus000142
"Салтыков-Щедрин, Михаил Евграфович",Смерть Пазухина,https://dracor.org/rus/saltykov-shchedrin-smert-pazuhina,,1889,1857,Русская виртуальная библиотека (rvb.ru),rus000095
"Соллогуб, Владимир Александрович",Чиновник,https://dracor.org/rus/sollogub-chinovnik,1856,1856,1856,Библиотека Максима Мошкова (lib.ru),rus000153
"Судовщиков, Николай Родионович","Неслыханное диво, или честный секретарь",https://dracor.org/rus/sudovshchikov-neslyhannoe-divo,,1809,1802,Библиотека Максима Мошкова (lib.ru),rus000157
"Сумароков, Александр Петрович",Пустая ссора,https://dracor.org/rus/sumarokov-pustaja-ssora,,1782,1781,Библиотека Максима Мошкова (lib.ru),rus000175
"Сумароков, Александр Петрович",Рогоносец по воображению,https://dracor.org/rus/sumarokov-rogonosets-po-voobrazheniju,1772,1782,1787,Библиотека Максима Мошкова (lib.ru),rus000174
"Сумароков, Александр Петрович",Семира,https://dracor.org/rus/sumarokov-semira,1751,1751,1768,Wikisource,rus000010
"Сумароков, Александр Петрович",Синав и Трувор,https://dracor.org/rus/sumarokov-sinav-i-truvor,,1750,1751,Библиотека Максима Мошкова (lib.ru),rus000116
"Сумароков, Александр Петрович",Ссора у мужа с женой,https://dracor.org/rus/sumarokov-ssora-u-muzha-s-zhenoj,1750,1751,1950,Библиотека Максима Мошкова (lib.ru),rus000176
"Сумароков, Александр Петрович",Тресотиниус,https://dracor.org/rus/sumarokov-tresotinius,1750,1750,1750,Библиотека Максима Мошкова (lib.ru),rus000171
"Сумароков, Александр Петрович",Артистона,https://dracor.org/rus/sumarokov-artistona,,1750,,Библиотека Максима Мошкова (lib.ru),rus000104
"Сумароков, Александр Петрович",Вздорщица,https://dracor.org/rus/sumarokov-vzdorschitsa,1770,1787,1787,Библиотека Максима Мошкова (lib.ru),rus000179
"Сумароков, Александр Петрович",Чудовищи,https://dracor.org/rus/sumarokov-chudovischi,1750,1750,1787,Библиотека Максима Мошкова (lib.ru),rus000173
"Сумароков, Александр Петрович",Димитрий Самозванец,https://dracor.org/rus/sumarokov-dimitrij-samozvanets,1770,1771,1771,Wikisource,rus000012
"Сумароков, Александр Петрович",Гамлет,https://dracor.org/rus/sumarokov-gamlet,1748,1757,1748,Журнальный зал,rus000165
"Сумароков, Александр Петрович",Хорев,https://dracor.org/rus/sumarokov-horev,1747,1750,1747,Wikisource,rus000011
"Сумароков, Александр Петрович",Опекун,https://dracor.org/rus/sumarokov-opekun,1765,,1765,Библиотека Максима Мошкова (lib.ru),rus000177
"Сумароков, Александр Петрович",Приданое обманом,https://dracor.org/rus/sumarokov-pridanoe-obmanom,1756,1756,1769,Библиотека Максима Мошкова (lib.ru),rus000178
"Сухово-Кобылин, Александр Васильевич",Дело,https://dracor.org/rus/sukhovo-kobylin-delo,1861,,1861,Wikisource,rus000015
"Сухово-Кобылин, Александр Васильевич",Смерть Тарелкина,https://dracor.org/rus/sukhovo-kobylin-smert-tarelkina,,1900,1869,Wikisource,rus000014
"Сухово-Кобылин, Александр Васильевич",Свадьба Кречинского,https://dracor.org/rus/sukhovo-kobylin-svadba-krechinskogo,1854,,1856,Wikisource,rus000013
"Толстой, Алексей Константинович",Смерть Иоанна Грозного,https://dracor.org/rus/tolstoy-smert-ioanna-groznogo,1866,1867,1866,Wikisource,rus000076
"Толстой, Алексей Константинович",Царь Борис,https://dracor.org/rus/tolstoy-tsar-boris,1870,1881,1870,Wikisource,rus000082
